name,cuisine,category,location,city,price,lat,lng,rating
Two Hands,Australian,Brunch,Noho|Tribeca|Nolita,New York City,2,40.7262603,-73.9956844,
Two Hands,Australian,Brunch,Noho|Tribeca|Nolita,New York City,2,40.7177931,-74.0054175,
The Grey Dog,American,Brunch,Greenwich Village|Nolita,New York City,2,40.7337952,-73.993199,
Maman,Coffee|French,Cafe|Brunch,Greenwich Village|Soho|Upper East Side|Nomad|Tribeca|Hudson Square,New York City,2,40.7432672,-73.9901338,
Xi'an Famous Foods,Chinese,Quick Bites,Chelsea|Chinatown|Upper East Side,New York City,1,40.7401615,-74.0019196,
Xi'an Famous Foods,Chinese,Quick Bites,Chelsea|Chinatown|Upper East Side,New York City,1,40.7722166,-73.9558052,
Laduree,French,Desserts|Brunch,Soho|Upper East Side,New York City,3,40.7708058,-73.9663586,
Keki Modern Cakes,Japanese|Bakery,Desserts,Chinatown|Koreatown,New York City,1,40.7164933,-73.998082,
787 Coffee,Coffee,Cafe,East Village|Gramercy,New York City,1,40.7263237,-73.9838523,
Boucherie,French,Lunch/Dinner|Desserts|Date Night,Greenwich Village|Gramercy,New York City,3,40.7372552,-73.9882246,
Boucherie,French,Lunch/Dinner|Desserts|Date Night,Greenwich Village|Midtown|Gramercy,New York City,3,40.7338274,-74.0004206,
Matto Espresso,Coffee,Cafe,Greenwich Village|FiDi|Midtown|Murray Hill|Upper East Side|Upper West Side,New York City,1,40.751606,-73.9836916,
Matto Espresso,Coffee,Cafe,Greenwich Village|FiDi|Midtown|Murray Hill|Upper East Side|Upper West Side,New York City,1,40.7562467,-73.9798031,
Matto Espresso,Coffee,Cafe,Greenwich Village|FiDi|Midtown|Murray Hill|Upper East Side|Upper West Side,New York City,1,40.7502596,-73.9777519,
Matto Espresso,Coffee,Cafe,Greenwich Village|FiDi|Midtown|Murray Hill|Upper East Side|Upper West Side,New York City,1,40.7515735,-73.970671,
Matto Espresso,Coffee,Cafe,Greenwich Village|FiDi|Midtown|Murray Hill|Upper East Side|Upper West Side,New York City,1,40.7094908,-74.0081836,
La Colombe,Coffee,Cafe,Soho|Noho|Midtown|FiDi,New York City,1,40.7239892,-73.9964457,
La Colombe,Coffee,Cafe,Soho|Noho|Midtown|FiDi,New York City,1,40.7257806,-74.0012273,
La Colombe,Coffee,Cafe,Soho|Noho|Midtown|FiDi,New York City,1,40.7198829,-74.0038136,
Bluestone Lane,Australian,Cafe|Brunch,Nolita|South Village|East Village|Greenwich Village|Midtown,New York City,2,40.720655,-73.9946124,
