name,cuisine,category,location,price,lat,lng,rating
Pizzeria Delfina,Pizza|Italian,Lunch/Dinner|Drinks,Pacific Heights|Mission,2,37.7889721,-122.4343201,3.9
Pizzeria Delfina,Pizza|Italian,Lunch/Dinner|Drinks,Pacific Heights|Mission,2,37.7613671,-122.4243616,3.9
Ocean Beach Cafe,Cafe,Cafe|Brunch|Quick Bites,Outer Richmond,2,37.7745996,-122.5106059,4.0
Moongate Lounge,Bar|Chinese,Bar|Drinks|Date Night,Chinatown,2,37.7937209,-122.4066555,4.5
Bottle Club Pub,Bar,Bar|Drinks,Tenderloin,2,37.7866605,-122.4124094,3.9
Na Ya Dessert Cafe,Asian|Cafe,Desserts|Cafe,Hayes Valley|Inner Richmond,2,37.7806373,-122.4768617,3.9
Na Ya Dessert Cafe,Asian|Cafe,Desserts|Cafe,Hayes Valley|Inner Richmond,2,37.7772306,-122.4248817,3.9
jina bakes,Bakery|Cafe,Bakery|Cafe|Quick Bites,Japantown,2,37.7849195,-122.4318719,4.3
Ragazza,Italian,Lunch/Dinner,Lower Haight,2,37.7724494,-122.4374639,4.0
La Taqueria,Mexican,Lunch/Dinner|Quick Bites,Mission,1,37.75087860000001,-122.4181833,4.4
The Bird,American|Chicken,Lunch/Dinner|Quick Bites,Hayes Valley|Yerba Buena,1,37.7872367,-122.4000993,4.0
The Bird,American|Chicken,Lunch/Dinner|Quick Bites,Hayes Valley|Yerba Buena,1,37.7769577,-122.4232471,4.0
Rise & Grind Coffee,Cafe|Coffee,Cafe,Inner Richmond|Mission,1,37.7737174,-122.4661482,4.3
Rise & Grind Coffee,Cafe|Coffee,Cafe,Inner Richmond|Mission,1,37.7558053,-122.4145989,4.3
Fig & Thistle,Bar|Wine,Bar|Drinks,Hayes Valley,2,37.7772496,-122.4232435,4.3
Dumpling Home,Chinese,Lunch/Dinner,Hayes Valley,2,37.7758205,-122.4226361,4.2
The Beehive,Bar,Bar|Drinks|Date Night,Mission,3,37.7594112,-122.4215672,4.1
Kitchen Story,American,Brunch,The Castro,2,37.7642741,-122.4307241,4.0
Birba,Wine|Bar,Bar|To Share|Date Night,Hayes Valley,2,37.7778352,-122.4242241,4.3
Taqueria El Buen Sabor,Mexican,Lunch/Dinner,Mission,1,37.7618446,-122.4214453,3.9
Horsefeather,American,Bar|Lunch/Dinner|Brunch|Drinks,Nopa,2,37.7744924,-122.4375151,4.0
The Tailor's Son,Italian,Lunch/Dinner|Bar|Drinks,Lower Pacific Heights,2,37.7886107,-122.4340502,4.4
Troya,Mediterranean|Turkish,Lunch/Dinner|Brunch|Date Night|Desserts|To Share,Pacific Heights,2,37.7893985,-122.4341527,4.0
Chili House,Chinese,Lunch/Dinner|To Share,Inner Richmond,2,37.7829921,-122.4671175,4.3
Cold Drinks Bar,Bar,Bar|Drinks|Date Night,North Beach,3,37.7979472,-122.4077917,4.4
Madrone Art Bar,Bar,Bar|Drinks,Nopa,2,37.7741911,-122.4374556,3.8
The New Spot on Polk,American,Brunch|Lunch/Dinner|Drinks,Russian Hill,2,37.7989333,-122.4225306,3.9
Saint Frank Coffee,Coffee,Cafe,Polk Gulch,2,37.7984797,-122.4220775,4.0
ROOH,Indian,Lunch/Dinner|To Share|Date Night|Drinks,South Beach,3,37.7811657,-122.3925262,4.3
Kantine,Scandinavian,Brunch|Cafe,Duboce Triangle,2,37.7705108,-122.4254828,4.1
Hazie's,Bar|American,Bar|Drinks|Lunch/Dinner,Hayes Valley,2,37.7763838,-122.4247376,3.8
R & G Lounge,Chinese,Drinks|Lunch/Dinner|To Share,Chinatown,2,37.794097,-122.4048745,4.1
Breadbelly,Asian|Bakery|Cafe,Cafe|Quick Bites|Desserts,Inner Richmond,2,37.7826278,-122.4743735,4.2
Loquat,Bakery|Cafe|Jewish,Cafe|Drinks|Desserts|Quick Bites,Hayes Valley,2,37.7749343,-122.4223706,4.1
Palette Tea House,Dim Sum|Chinese,To Share|Brunch,Fort Mason,3,37.8059811,-122.4229458,4.4
Fondue Chinoise,Chinese,To Share|Lunch/Dinner,North Beach,2,37.7982845,-122.4044537,4.0
Slice House Haight,Italian|Pizza,Quick Bites,Haight-Ashbury,2,37.7698335,-122.4475637,4.0
Khob Khun Thai,Thai,Brunch|Lunch/Dinner,Inner Richmond,2,37.7809632,-122.459617,4.0
Han Il Kwan,Korean,Lunch/Dinner|To Share|Drinks,Outer Richmond,2,37.7767113,-122.4782853,3.9
